text	pos	etype	erate	source	error	word	eword	epos	label
100	1	real	50	cnn	1	Two	Tow	1	swap_repeat
100	2	real	50	cnn	1	passengers	pasingers	3	phonetics
100	3	real	50	cnn	1	found	founded	5	other_err
100	4	real	50	cnn	1	dead	daed	1	swap_repeat
100	5	real	50	cnn	1	on	om	1	keyboard
100	6	real	50	cnn	1	a	de	0	other_real
100	7	real	50	cnn	1	cruise	cruse	3	phonetics
100	8	real	50	cnn	1	ship	chip	0	keyboard
100	9	real	50	cnn	1	in	In	0	caps
100	10	real	50	cnn	0	Puerto	Puerto	6	NA
100	11	real	50	cnn	0	Rico	Rico	4	NA
100	12	real	50	cnn	1	appear	appeard	6	insert
100	13	real	50	cnn	0	to	to	2	NA
100	14	real	50	cnn	1	have	heve	1	swap_repeat
100	15	real	50	cnn	0	died	died	4	NA
100	16	real	50	cnn	1	in	im	1	keyboard
100	17	real	50	cnn	1	a	de	0	other_real
100	18	real	50	cnn	0	murder-suicide,	murder-suicide,	15	NA
100	19	real	50	cnn	1	the	athe	0	insert
100	20	real	50	cnn	1	cruise	cruse	3	phonetics
100	21	real	50	cnn	0	line	line	4	NA
100	22	real	50	cnn	0	said.	said.	5	NA
100	23	real	50	cnn	1	Holland	Holand	3	phonetics
100	24	real	50	cnn	1	America	American	7	phonetics
100	25	real	50	cnn	1	Line	Lin	3	phonetics
100	26	real	50	cnn	1	said	siad	1	swap_repeat
100	27	real	50	cnn	1	two	tpw	1	keyboard
100	28	real	50	cnn	1	guests	guasts	2	phonetics
100	29	real	50	cnn	1	were	where	1	phonetics
100	30	real	50	cnn	1	found	fonund	2	insert
100	31	real	50	cnn	0	dead	dead	4	NA
100	32	real	50	cnn	0	inside	inside	6	NA
100	33	real	50	cnn	0	their	their	5	NA
100	34	real	50	cnn	0	stateroom	stateroom	9	NA
100	35	real	50	cnn	1	on	jn	0	delete
100	36	real	50	cnn	1	the	ths	2	keyboard
100	37	real	50	cnn	0	ms	ms	2	NA
100	38	real	50	cnn	0	Ryndam	Ryndam	6	NA
100	39	real	50	cnn	1	at	ay	1	keyboard
100	40	real	50	cnn	0	11:30	11:30	5	NA
100	41	real	50	cnn	0	a.m.	a.m.	4	NA
100	42	real	50	cnn	0	Thursday.	Thursday.	9	NA
100	43	real	50	cnn	0	"The	"The	4	NA
100	44	real	50	cnn	1	cabin	Captain	0	other_real
100	45	real	50	cnn	0	was	was	3	NA
100	46	real	50	cnn	1	immediately	imediately	2	phonetics
100	47	real	50	cnn	0	secured,	secured,	8	NA
100	48	real	50	cnn	1	and	am	1	other_real
100	49	real	50	cnn	1	the	el	0	other_real
100	50	real	50	cnn	1	authorities	autorities	3	delete
100	51	real	50	cnn	0	were	were	4	NA
100	52	real	50	cnn	0	notified,	notified,	9	NA
100	53	real	50	cnn	1	including	incluiding	5	phonetics
100	54	real	50	cnn	0	the	the	3	NA
100	55	real	50	cnn	0	FBI,"	FBI,"	5	NA
100	56	real	50	cnn	1	Holland	holland	0	caps
100	57	real	50	cnn	0	America	America	7	NA
100	58	real	50	cnn	0	said.	said.	5	NA
100	59	real	50	cnn	0	"We	"We	3	NA
100	60	real	50	cnn	0	are	are	3	NA
100	61	real	50	cnn	0	cooperating	cooperating	11	NA
100	62	real	50	cnn	0	fully	fully	5	NA
100	63	real	50	cnn	0	with	with	4	NA
100	64	real	50	cnn	1	the	theath	3	other_err
100	65	real	50	cnn	0	investigation,	investigation,	14	NA
100	66	real	50	cnn	1	and	anb	2	delete
100	67	real	50	cnn	1	the	d	0	other_real
100	68	real	50	cnn	1	authorities	autorities	3	delete
100	69	real	50	cnn	0	will	will	4	NA
100	70	real	50	cnn	0	make	make	4	NA
100	71	real	50	cnn	0	the	the	3	NA
100	72	real	50	cnn	1	official	ufficial	0	phonetics
100	73	real	50	cnn	0	determination	determination	13	NA
100	74	real	50	cnn	1	on	onteh	2	other_err
100	75	real	50	cnn	1	what	whar	3	keyboard
100	76	real	50	cnn	0	occurred."	occurred."	10	NA
100	77	real	50	cnn	0	FBI	FBI	3	NA
100	78	real	50	cnn	0	spokesman	spokesman	9	NA
100	79	real	50	cnn	0	Moises	Moises	6	NA
100	80	real	50	cnn	0	Quinones	Quinones	8	NA
100	81	real	50	cnn	1	said	siad	1	swap_repeat
100	82	real	50	cnn	1	authorities	autorities	3	delete
100	83	real	50	cnn	1	were	vere	0	delete
100	84	real	50	cnn	1	on	os	1	delete
100	85	real	50	cnn	0	scene	scene	5	NA
100	86	real	50	cnn	0	investigating.	investigating.	14	NA
100	87	real	50	cnn	1	The	tho	0	phonetics
100	88	real	50	cnn	0	ship	ship	4	NA
100	89	real	50	cnn	1	left	lefe	3	swap_repeat
100	90	real	50	cnn	0	Tampa,	Tampa,	6	NA
100	91	real	50	cnn	0	Florida,	Florida,	8	NA
100	92	real	50	cnn	1	on	oon	1	phonetics
100	93	real	50	cnn	1	March	match	0	keyboard
100	94	real	50	cnn	0	29	29	2	NA
100	95	real	50	cnn	0	on	on	2	NA
100	96	real	50	cnn	1	a	o	0	phonetics
100	97	real	50	cnn	0	14-day	14-day	6	NA
100	98	real	50	cnn	0	Southern	Southern	8	NA
100	99	real	50	cnn	1	Caribbean	Caribeen	5	phonetics
100	100	real	50	cnn	0	cruise.	cruise.	7	NA
100	101	real	50	cnn	1	It's	It''s	3	phonetics
100	102	real	50	cnn	1	currently	curenntly	3	swap_repeat
100	103	real	50	cnn	0	in	in	2	NA
100	104	real	50	cnn	1	San	san	0	caps
100	105	real	50	cnn	0	Juan,	Juan,	5	NA
100	106	real	50	cnn	1	Puerto	puerto	0	caps
100	107	real	50	cnn	0	Rico.	Rico.	5	NA
100	108	real	50	cnn	1	Puerto	puerto	0	caps
100	109	real	50	cnn	0	Rico	Rico	4	NA
100	110	real	50	cnn	0	Port	Port	4	NA
100	111	real	50	cnn	0	Authority	Authority	9	NA
100	112	real	50	cnn	0	spokesman	spokesman	9	NA
100	113	real	50	cnn	0	Efrain	Efrain	6	NA
100	114	real	50	cnn	1	Santiago	Saltiago	2	delete
100	115	real	50	cnn	1	told	talled	1	phonetics
100	116	real	50	cnn	0	El	El	2	NA
100	117	real	50	cnn	0	Nuevo	Nuevo	5	NA
100	118	real	50	cnn	0	Dia	Dia	3	NA
100	119	real	50	cnn	1	newspaper	newsaper	4	delete
100	120	real	50	cnn	1	that	taht	1	swap_repeat
100	121	real	50	cnn	1	the	tthe	1	phonetics
100	122	real	50	cnn	0	cleaning	cleaning	8	NA
100	123	real	50	cnn	1	staff	stafs	4	swap_repeat
